Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
92,3,21,R,G1,BO_001,
93,3,22,L,G1,BO_032,
93,3,22,R,G1,BO_017,
94,3,23,L,G2,BO_135,
94,3,23,R,G2,BO_123,
95,3,24,L,G1,BO_143,
95,3,24,R,G1,BO_175,
96,3,25,L,G2,BO_088,
96,3,25,R,G1,BO_191,
97,3,26,L,G1,BO_045,
97,3,26,R,G1,BO_124,
98,4,1,L,G2,BO_051,
98,4,1,R,G1,BO_115,
99,4,2,L,G1,BO_102,
99,4,2,R,G1,BO_098,
100,4,3,L,G1,BO_121,
100,4,3,R,G1,BO_147,
101,4,4,L,G1,BO_081,
101,4,4,R,G1,BO_118,
102,4,5,L,G1,BO_147,
102,4,5,R,G1,BO_021,
103,4,6,L,G1,BO_135,
103,4,6,R,G1,BO_104,
104,4,7,L,G2,BO_067,
104,4,7,R,G1,BO_123,
105,4,8,L,G1,BO_148,
105,4,8,R,G1,BO_158,
106,4,9,L,G1,BO_095,5
106,4,9,R,G1,BO_004,
107,4,10,L,G1,BO_180,5
107,4,10,R,G2,BO_150,
108,4,11,L,G1,BO_063,
108,4,11,R,G1,BO_070,
109,4,12,L,G1,BO_166,
109,4,12,R,G1,BO_022,
110,4,13,L,G2,BO_095,
110,4,13,R,G1,BO_198,
111,4,14,L,G1,BO_052,
111,4,14,R,G1,BO_199,
112,4,15,L,G1,BO_071,
112,4,15,R,G2,BO_031,
113,4,16,L,G1,BO_126,
113,4,16,R,G2,BO_141,
114,4,17,L,G1,BO_154,
114,4,17,R,G1,BO_012,
115,4,18,L,G1,BO_053,
115,4,18,R,G1,BO_053,
116,4,19,L,G1,BO_125,3
116,4,19,R,G1,BO_024,
117,4,20,L,G1,BO_150,
117,4,20,R,G1,BO_054,
118,4,21,L,G1,BO_106,
118,4,21,R,G1,BO_146,
119,4,22,L,G1,BO_054,
119,4,22,R,G1,BO_029,
120,4,23,L,G1,BO_114,
120,4,23,R,G1,BO_022,
121,4,24,L,G2,BO_021,
121,4,24,R,G2,BO_131,
122,4,25,L,G2,BO_108,
122,4,25,R,G1,BO_132,
123,4,26,L,G1,BO_161,
123,4,26,R,G1,BO_014,
124,4,27,L,G1,BO_199,1
124,4,27,R,G1,BO_072,
125,5,1,L,G2,BO_012,
125,5,1,R,G1,BO_130,
126,5,2,L,G1,BO_126,5
126,5,2,R,G1,BO_032,
127,5,3,L,G2,BO_050,1
127,5,3,R,G1,BO_009,
128,5,4,L,G1,BO_167,
128,5,4,R,G1,BO_159,3
129,5,5,L,G2,BO_123,
129,5,5,R,G2,BO_052,5
130,5,6,L,G2,BO_069,4
130,5,6,R,G2,BO_008,5
131,5,7,L,G2,BO_118,
131,5,7,R,G2,BO_025,3
132,5,8,L,G1,BO_004,3
132,5,8,R,G1,BO_013,1
133,5,9,L,G1,BO_124,1
133,5,9,R,G2,BO_037,1
134,5,10,L,G1,BO_116,
134,5,10,R,G1,BO_155,
135,5,11,L,G1,BO_116,
135,5,11,R,G1,BO_164,
136,5,12,L,G1,BO_184,5
136,5,12,R,G2,BO_079,
137,5,13,L,G2,BO_094,3
137,5,13,R,G1,BO_135,
138,5,14,L,G1,BO_094,3
138,5,14,R,G1,BO_182,
139,5,15,L,G1,BO_178,
139,5,15,R,G2,BO_091,
140,5,16,L,G1,BO_169,3
140,5,16,R,G1,BO_078,5
141,5,17,L,G1,BO_018,
141,5,17,R,G2,BO_174,
142,5,18,L,G1,BO_152,2
142,5,18,R,G2,BO_086,5
143,5,19,L,G2,BO_182,
143,5,19,R,G2,BO_032,
144,5,20,L,G1,BO_124,2
144,5,20,R,G2,BO_045,
145,5,21,L,G1,BO_150,
145,5,21,R,G1,BO_094,
146,5,22,L,G1,BO_019,3
146,5,22,R,G2,BO_094,
147,5,23,L,G1,BO_177,5
147,5,23,R,G2,BO_056,
148,5,24,L,G1,BO_191,
148,5,24,R,G1,BO_198,
149,5,25,L,G1,BO_031,5
149,5,25,R,G1,BO_020,
150,5,26,L,G1,BO_088,
150,5,26,R,G1,BO_090,
151,5,27,L,G1,BO_171,
151,5,27,R,G1,BO_142,
152,5,28,L,G2,BO_190,
152,5,28,R,G1,BO_082,
153,5,29,L,G1,BO_001,5
153,5,29,R,G2,BO_164,
154,5,30,L,G1,BO_132,
154,5,30,R,G1,BO_132,
155,5,31,L,G1,BO_105,
155,5,31,R,G1,BO_121,
156,5,32,L,G1,BO_098,
156,5,32,R,G2,BO_108,5
157,5,33,L,G1,BO_072,
157,5,33,R,G2,BO_067,
158,5,34,L,G2,BO_125,2
158,5,34,R,G2,BO_146,3
159,5,35,L,G1,BO_017,
159,5,35,R,G1,BO_174,
160,5,36,L,G1,BO_078,
160,5,36,R,G1,BO_102,
161,5,37,L,G1,BO_080,
161,5,37,R,G1,BO_080,
162,5,38,L,G2,BO_159,
162,5,38,R,G1,BO_086,
163,5,39,L,G1,BO_134,
163,5,39,R,G1,BO_154,
164,5,40,L,G1,BO_060,
164,5,40,R,G1,BO_034,
165,5,41,L,G2,BO_090,
165,5,41,R,G1,BO_191,
166,5,42,L,G2,BO_037,
166,5,42,R,G1,BO_127,
167,5,43,L,G2,BO_070,
167,5,43,R,G1,BO_014,
168,6,22,L,G2,BO_052,5
168,6,22,R,G2,BO_031,3
169,6,1,L,G2,BO_051,
169,6,1,R,G1,BO_185,3
170,6,2,L,G1,BO_056,5
170,6,2,R,G2,BO_067,1
171,6,3,L,G1,BO_022,1
171,6,3,R,G1,BO_089,5
172,6,4,L,G1,BO_158,1
172,6,4,R,G1,BO_182,5
173,6,5,L,G1,BO_131,3
173,6,5,R,G2,BO_098,
174,6,6,L,G2,BO_153,
174,6,6,R,G1,BO_102,
175,6,7,L,G2,BO_191,1
175,6,7,R,G2,BO_050,
176,6,8,L,G2,BO_072,1
176,6,8,R,G1,BO_121,2
177,6,9,L,G1,BO_166,1
177,6,9,R,G1,BO_087,4
178,6,10,L,G1,BO_195,
178,6,10,R,G1,BO_034,
179,6,11,L,G2,BO_015,2
179,6,11,R,G2,BO_001,3
180,6,12,L,G1,BO_145,2
180,6,12,R,G1,BO_158,4
181,6,13,L,G1,BO_199,1
181,6,13,R,G2,BO_060,3
182,6,14,L,G2,BO_061,
182,6,14,R,G2,BO_130,4
183,6,15,L,G2,BO_013,
183,6,15,R,G2,BO_200,
184,6,16,L,G1,BO_027,3
184,6,16,R,G2,BO_043,
185,6,17,L,G1,BO_201,1
185,6,17,R,G2,BO_100,
186,6,18,L,G1,BO_167,
186,6,18,R,G1,BO_048,3
187,6,19,L,G1,BO_069,1
187,6,19,R,G2,BO_048,3
188,6,20,L,G1,BO_117,4
188,6,20,R,G1,BO_071,4
189,6,21,L,G2,BO_034,5
189,6,21,R,G2,BO_182,
190,6,23,L,G1,BO_114,
190,6,23,R,G1,BO_140,3
191,6,24,L,G1,BO_071,
191,6,24,R,G2,BO_154,
192,6,25,L,G2,BO_018,2
192,6,25,R,G2,BO_021,5
193,6,26,L,G2,BO_190,1
193,6,26,R,G1,BO_025,
194,6,27,L,G1,BO_120,4
194,6,27,R,G1,BO_029,5
195,6,28,L,G1,BO_186,
195,6,28,R,G1,BO_020,
196,6,29,L,G1,BO_020,
196,6,29,R,G2,BO_086,2
197,6,30,L,G1,BO_019,5
197,6,30,R,G2,BO_032,
198,6,31,L,G1,BO_161,5
198,6,31,R,G2,BO_099,1
199,7,1,L,G2,BO_115,5
199,7,1,R,G2,BO_176,4
200,7,2,L,G1,BO_009,
200,7,2,R,G2,BO_089,5
201,7,3,L,G1,BO_085,5
201,7,3,R,G2,BO_022,
202,7,4,L,G1,BO_061,
202,7,4,R,G2,BO_134,
203,7,5,L,G1,BO_050,3
203,7,5,R,G1,BO_116,1
204,7,6,L,G1,BO_155,5
204,7,6,R,G2,BO_126,
205,7,7,L,G1,BO_099,1
205,7,7,R,G2,BO_088,
206,7,8,L,G2,BO_034,1
206,7,8,R,G1,BO_043,2
207,7,9,L,G1,BO_048,5
207,7,9,R,G1,BO_061,
208,7,10,L,G1,BO_012,1
208,7,10,R,G1,BO_137,
209,7,11,L,G1,BO_148,
209,7,11,R,G1,BO_157,
210,7,12,L,G2,BO_164,1
210,7,12,R,G1,BO_150,4
211,7,13,L,G2,BO_126,3
211,7,13,R,G1,BO_185,
212,7,14,L,G2,BO_045,
212,7,14,R,G2,BO_034,
213,7,15,L,G1,BO_050,4
213,7,15,R,G1,BO_198,2
214,7,16,L,G1,BO_094,3
214,7,16,R,G1,BO_152,
215,7,17,L,G1,BO_047,
215,7,17,R,G1,BO_185,
216,7,18,L,G2,BO_018,
216,7,18,R,G1,BO_088,
217,7,19,L,G1,BO_134,
217,7,19,R,G1,BO_024,5
218,7,20,L,G1,BO_053,5
218,7,20,R,G2,BO_071,5
219,7,21,L,G2,BO_021,4
219,7,21,R,G1,BO_048,
220,7,22,L,G2,BO_132,
220,7,22,R,G1,BO_149,
221,7,23,L,G1,BO_114,
221,7,23,R,G1,BO_155,
222,7,24,L,G2,BO_135,
222,7,24,R,G2,BO_164,2
223,7,25,L,G2,BO_155,
223,7,25,R,G1,BO_118,1
224,7,26,L,G2,BO_191,
224,7,26,R,G1,BO_146,5
225,8,1,L,G2,BO_017,
225,8,1,R,G1,BO_157,4
226,8,2,L,G1,BO_126,
226,8,2,R,G2,BO_080,3
227,8,3,L,G2,BO_027,5
227,8,3,R,G1,BO_050,
228,8,4,L,G2,BO_008,1
228,8,4,R,G1,BO_087,1
229,8,5,L,G1,BO_027,3
229,8,5,R,G2,BO_169,1
230,8,6,L,G1,BO_122,1
230,8,6,R,G1,BO_115,2
231,8,7,L,G2,BO_169,3
231,8,7,R,G1,BO_122,2
232,8,8,L,G2,BO_056,2
232,8,8,R,G2,BO_171,
233,8,9,L,G1,BO_082,2
233,8,9,R,G1,BO_028,2
234,8,10,L,G1,BO_140,1
234,8,10,R,G2,BO_091,
235,8,11,L,G2,BO_090,1
235,8,11,R,G1,BO_069,3
236,8,12,L,G2,BO_141,
236,8,12,R,G2,BO_090,2
237,8,13,L,G1,BO_164,5
237,8,13,R,G2,BO_141,
238,8,14,L,G1,BO_080,
238,8,14,R,G1,BO_044,1
239,8,15,L,G2,BO_078,
239,8,15,R,G1,BO_079,2
240,8,16,L,G1,BO_090,5
240,8,16,R,G1,BO_051,
241,8,17,L,G1,BO_149,1
241,8,17,R,G2,BO_001,
242,8,18,L,G2,BO_048,
242,8,18,R,G1,BO_027,3
243,8,19,L,G1,BO_072,4
243,8,19,R,G2,BO_152,5
244,8,20,L,G1,BO_008,3
244,8,20,R,G2,BO_137,2
245,8,21,L,G1,BO_008,2
245,8,21,R,G1,BO_091,2
246,8,22,L,G1,BO_025,
246,8,22,R,G2,BO_135,
247,8,23,L,G2,BO_149,5
247,8,23,R,G2,BO_191,
248,8,24,L,G2,BO_152,2
248,8,24,R,G1,BO_066,4
249,8,25,L,G2,BO_070,
249,8,25,R,G1,BO_144,5
250,9,1,L,G2,BO_130,
250,9,1,R,G2,BO_149,
251,9,2,L,G1,BO_032,3
251,9,2,R,G1,BO_117,4
252,9,3,L,G1,BO_079,
252,9,3,R,G1,BO_046,
253,9,4,L,G1,BO_137,5
253,9,4,R,G2,BO_121,4
254,9,5,L,G1,BO_054,
254,9,5,R,G1,BO_134,1
255,9,6,L,G1,BO_082,5
255,9,6,R,G1,BO_176,5
256,9,7,L,G1,BO_111,
256,9,7,R,G2,BO_115,3
257,9,8,L,G2,BO_155,5
257,9,8,R,G2,BO_027,5
258,9,9,L,G1,BO_118,1
258,9,9,R,G1,BO_070,4
259,9,10,L,G1,BO_127,4
259,9,10,R,G1,BO_159,3
260,9,11,L,G2,BO_146,1
260,9,11,R,G1,BO_056,4
261,9,12,L,G1,BO_105,5
261,9,12,R,G1,BO_127,5
262,9,13,L,G2,BO_080,5
262,9,13,R,G2,BO_123,1
263,9,14,L,G1,BO_021,
263,9,14,R,G1,BO_091,3
264,9,15,L,G1,BO_089,1
264,9,15,R,G1,BO_125,1
265,9,16,L,G1,BO_159,2
265,9,16,R,G1,BO_130,3
266,9,17,L,G1,BO_066,1
266,9,17,R,G1,BO_176,3
267,9,18,L,G2,BO_150,3
267,9,18,R,G2,BO_125,1
268,9,19,L,G1,BO_014,5
268,9,19,R,G1,BO_131,
269,9,20,L,G1,BO_095,5
269,9,20,R,G1,BO_195,3
270,9,21,L,G2,BO_043,3
270,9,21,R,G1,BO_085,5
271,9,22,L,G1,BO_143,
271,9,22,R,G2,BO_025,5
272,9,23,L,G1,BO_186,1
272,9,23,R,G1,BO_052,2
273,9,24,L,G2,BO_061,4
273,9,24,R,G1,BO_106,1
274,9,25,L,G1,BO_111,4
274,9,25,R,G1,BO_009,5
275,9,26,L,G1,BO_090,
275,9,26,R,G2,BO_131,
276,9,27,L,G2,BO_166,5
276,9,27,R,G1,BO_169,2
277,9,28,L,G1,BO_167,
277,9,28,R,G1,BO_067,
278,9,29,L,G2,BO_145,
278,9,29,R,G1,BO_123,
279,9,30,L,G2,BO_102,
279,9,30,R,G2,BO_018,1
280,10,1,L,G1,BO_091,
280,10,1,R,G2,BO_079,
281,10,2,L,G2,BO_184,3
281,10,2,R,G2,BO_142,5
282,10,3,L,G2,BO_184,
282,10,3,R,G2,BO_199,3
283,10,4,L,G2,BO_137,
283,10,4,R,G1,BO_184,5
284,10,5,L,G1,BO_122,
284,10,5,R,G1,BO_047,
285,10,6,L,G2,BO_032,3
285,10,6,R,G1,BO_052,
286,10,7,L,G2,BO_115,4
286,10,7,R,G1,BO_149,2
287,10,8,L,G1,BO_142,1
287,10,8,R,G1,BO_013,4
288,10,9,L,G1,BO_019,5
288,10,9,R,G2,BO_089,5
289,10,10,L,G2,BO_127,
289,10,10,R,G2,BO_143,1
290,10,11,L,G2,BO_055,
290,10,11,R,G1,BO_152,
291,10,12,L,G2,BO_180,1
291,10,12,R,G1,BO_008,5
292,10,13,L,G1,BO_169,
292,10,13,R,G1,BO_060,1
293,10,14,L,G1,BO_095,4
293,10,14,R,G1,BO_012,3
294,10,15,L,G2,BO_154,
294,10,15,R,G2,BO_125,5
295,10,16,L,G1,BO_146,5
295,10,16,R,G2,BO_137,
296,10,17,L,G1,BO_151,
296,10,17,R,G2,BO_079,3
297,10,18,L,G1,BO_096,
297,10,18,R,G1,BO_186,4
298,10,19,L,G1,BO_070,
298,10,19,R,G1,BO_108,3
299,10,20,L,G2,BO_017,
299,10,20,R,G1,BO_130,
300,10,21,L,G1,BO_108,
300,10,21,R,G2,BO_151,
301,10,22,L,G2,BO_001,3
301,10,22,R,G2,BO_118,
302,10,23,L,G1,BO_037,5
302,10,23,R,G1,BO_098,2
303,10,24,L,G2,BO_099,
303,10,24,R,G2,BO_025,4
304,10,25,L,G1,BO_100,
304,10,25,R,G2,BO_177,2
305,10,26,L,G1,BO_184,5
305,10,26,R,G1,BO_171,1
306,10,27,L,G2,BO_134,
306,10,27,R,G1,BO_063,
307,10,28,L,G1,BO_176,1
307,10,28,R,G1,BO_178,
308,10,29,L,G1,BO_145,
308,10,29,R,G1,BO_180,3
309,10,30,L,G2,BO_088,1
309,10,30,R,G1,BO_018,4
310,10,31,L,G1,BO_154,
310,10,31,R,(empty),BO_ NA,
