Sequence,Location,position,Gen,Recipient,Plant_ID,Fit_plant,FD_01,FD_02,FD_03,FD_04,FD_05,FD_06,FD_07,LeafD,FLR_P,Notes
51,17,L,G1,BB_052,4,,,,,,,,,,,
51,17,L,G1,BB_052,5,,,,,,,,,,,
51,17,R,G1,BB_159,1,,,,,,,,,,,
51,17,R,G1,BB_159,2,,,,,,,,,,,
51,17,R,G1,BB_159,3,,,,,,,,,,,
51,17,R,G1,BB_159,4,,,,,,,,,,,
51,17,R,G1,BB_159,5,,,,,,,,,,,
52,18,L,G1,BB_171,1,,,,,,,,,,,
52,18,L,G1,BB_171,2,,,,,,,,,,,
52,18,L,G1,BB_171,3,,,,,,,,,,,
52,18,L,G1,BB_171,4,,,,,,,,,,,
52,18,L,G1,BB_171,5,,,,,,,,,,,
52,18,R,G1,BB_031,1,,,,,,,,,,,
52,18,R,G1,BB_031,2,,,,,,,,,,,
52,18,R,G1,BB_031,3,,,,,,,,,,,
52,18,R,G1,BB_031,4,,,,,,,,,,,
52,18,R,G1,BB_031,5,,,,,,,,,,,
53,18,L,G1,BB_118,1,,,,,,,,,,,
53,18,L,G1,BB_118,2,,,,,,,,,,,
53,18,L,G1,BB_118,3,,,,,,,,,,,
53,18,L,G1,BB_118,4,,,,,,,,,,,
53,18,L,G1,BB_118,5,,,,,,,,,,,
53,18,R,G2,BB_037,1,,,,,,,,,,,
53,18,R,G2,BB_037,2,,,,,,,,,,,
53,18,R,G2,BB_037,3,,,,,,,,,,,
53,18,R,G2,BB_037,4,,,,,,,,,,,
53,18,R,G2,BB_037,5,,,,,,,,,,,
54,18,L,G2,BB_145,1,,,,,,,,,,,
54,18,L,G2,BB_145,2,,,,,,,,,,,
54,18,L,G2,BB_145,3,,,,,,,,,,,
54,18,L,G2,BB_145,4,,,,,,,,,,,
54,18,L,G2,BB_145,5,,,,,,,,,,,
54,18,R,G1,BB_074,1,,,,,,,,,,,
54,18,R,G1,BB_074,2,,,,,,,,,,,
54,18,R,G1,BB_074,3,,,,,,,,,,,
54,18,R,G1,BB_074,4,,,,,,,,,,,
54,18,R,G1,BB_074,5,,,,,,,,,,,
55,19,L,G1,BB_097,1,,,,,,,,,,,
55,19,L,G1,BB_097,2,,,,,,,,,,,
55,19,L,G1,BB_097,3,,,,,,,,,,,
55,19,L,G1,BB_097,4,,,,,,,,,,,
55,19,L,G1,BB_097,5,,,,,,,,,,,
55,19,R,G2,BB_018,1,,,,,,,,,,,
55,19,R,G2,BB_018,2,,,,,,,,,,,
55,19,R,G2,BB_018,3,,,,,,,,,,,
55,19,R,G2,BB_018,4,,,,,,,,,,,
55,19,R,G2,BB_018,5,,,,,,,,,,,
56,19,L,G1,BB_079,1,,,,,,,,,,,
56,19,L,G1,BB_079,2,,,,,,,,,,,
56,19,L,G1,BB_079,3,,,,,,,,,,,
56,19,L,G1,BB_079,4,,,,,,,,,,,
56,19,L,G1,BB_079,5,,,,,,,,,,,
56,19,R,G1,BB_157,1,,,,,,,,,,,
56,19,R,G1,BB_157,2,,,,,,,,,,,
56,19,R,G1,BB_157,3,,,,,,,,,,,
56,19,R,G1,BB_157,4,,,,,,,,,,,
56,19,R,G1,BB_157,5,,,,,,,,,,,
57,19,L,G2,BB_200,1,,,,,,,,,,,
57,19,L,G2,BB_200,2,,,,,,,,,,,
57,19,L,G2,BB_200,3,,,,,,,,,,,
57,19,L,G2,BB_200,4,,,,,,,,,,,
57,19,L,G2,BB_200,5,,,,,,,,,,,
57,19,R,G2,BB_083,1,,,,,,,,,,,
57,19,R,G2,BB_083,2,,,,,,,,,,,
57,19,R,G2,BB_083,3,,,,,,,,,,,
57,19,R,G2,BB_083,4,,,,,,,,,,,
57,19,R,G2,BB_083,5,,,,,,,,,,,
58,20,L,G1,BB_104,1,,,,,,,,,,,
58,20,L,G1,BB_104,2,,,,,,,,,,,
58,20,L,G1,BB_104,3,,,,,,,,,,,
58,20,L,G1,BB_104,4,,,,,,,,,,,
58,20,L,G1,BB_104,5,,,,,,,,,,,
58,20,R,G1,BB_185,1,,,,,,,,,,,
58,20,R,G1,BB_185,2,,,,,,,,,,,
58,20,R,G1,BB_185,3,,,,,,,,,,,
58,20,R,G1,BB_185,4,,,,,,,,,,,
58,20,R,G1,BB_185,5,,,,,,,,,,,
59,20,L,G2,BB_018,1,,,,,,,,,,,
59,20,L,G2,BB_018,2,,,,,,,,,,,
59,20,L,G2,BB_018,3,,,,,,,,,,,
59,20,L,G2,BB_018,4,,,,,,,,,,,
59,20,L,G2,BB_018,5,,,,,,,,,,,
59,20,R,G1,BB_051,1,,,,,,,,,,,
59,20,R,G1,BB_051,2,,,,,,,,,,,
59,20,R,G1,BB_051,3,,,,,,,,,,,
59,20,R,G1,BB_051,4,,,,,,,,,,,
59,20,R,G1,BB_051,5,,,,,,,,,,,
60,20,L,G2,BB_046,1,,,,,,,,,,,
60,20,L,G2,BB_046,2,,,,,,,,,,,
60,20,L,G2,BB_046,3,,,,,,,,,,,
60,20,L,G2,BB_046,4,,,,,,,,,,,
60,20,L,G2,BB_046,5,,,,,,,,,,,
60,20,R,G1,BB_003,1,,,,,,,,,,,
60,20,R,G1,BB_003,2,,,,,,,,,,,
60,20,R,G1,BB_003,3,,,,,,,,,,,
60,20,R,G1,BB_003,4,,,,,,,,,,,
60,20,R,G1,BB_003,5,,,,,,,,,,,
61,21,L,G2,BB_153,1,,,,,,,,,,,
61,21,L,G2,BB_153,2,,,,,,,,,,,
61,21,L,G2,BB_153,3,,,,,,,,,,,
61,21,L,G2,BB_153,4,,,,,,,,,,,
61,21,L,G2,BB_153,5,,,,,,,,,,,
61,21,R,G2,BB_114,1,,,,,,,,,,,
61,21,R,G2,BB_114,2,,,,,,,,,,,
61,21,R,G2,BB_114,3,,,,,,,,,,,
61,21,R,G2,BB_114,4,,,,,,,,,,,
61,21,R,G2,BB_114,5,,,,,,,,,,,
62,21,L,G1,BB_043,1,,,,,,,,,,,
62,21,L,G1,BB_043,2,,,,,,,,,,,
62,21,L,G1,BB_043,3,,,,,,,,,,,
62,21,L,G1,BB_043,4,,,,,,,,,,,
62,21,L,G1,BB_043,5,,,,,,,,,,,
62,21,R,G2,BB_093,1,,,,,,,,,,,
62,21,R,G2,BB_093,2,,,,,,,,,,,
62,21,R,G2,BB_093,3,,,,,,,,,,,
62,21,R,G2,BB_093,4,,,,,,,,,,,
62,21,R,G2,BB_093,5,,,,,,,,,,,
63,21,L,G1,BB_120,1,,,,,,,,,,,
63,21,L,G1,BB_120,2,,,,,,,,,,,
63,21,L,G1,BB_120,3,,,,,,,,,,,
63,21,L,G1,BB_120,4,,,,,,,,,,,
63,21,L,G1,BB_120,5,,,,,,,,,,,
63,21,R,G1,BB_121,1,,,,,,,,,,,
63,21,R,G1,BB_121,2,,,,,,,,,,,
63,21,R,G1,BB_121,3,,,,,,,,,,,
63,21,R,G1,BB_121,4,,,,,,,,,,,
63,21,R,G1,BB_121,5,,,,,,,,,,,
64,22,L,G2,BB_076,1,,,,,,,,,,,
64,22,L,G2,BB_076,2,,,,,,,,,,,
64,22,L,G2,BB_076,3,,,,,,,,,,,
64,22,L,G2,BB_076,4,,,,,,,,,,,
64,22,L,G2,BB_076,5,,,,,,,,,,,
64,22,R,G1,BB_035,1,,,,,,,,,,,
64,22,R,G1,BB_035,2,,,,,,,,,,,
64,22,R,G1,BB_035,3,,,,,,,,,,,
64,22,R,G1,BB_035,4,,,,,,,,,,,
64,22,R,G1,BB_035,5,,,,,,,,,,,
65,22,L,G1,BB_195,1,,,,,,,,,,,
65,22,L,G1,BB_195,2,,,,,,,,,,,
65,22,L,G1,BB_195,3,,,,,,,,,,,
65,22,L,G1,BB_195,4,,,,,,,,,,,
65,22,L,G1,BB_195,5,,,,,,,,,,,
65,22,R,G1,BB_147,1,,,,,,,,,,,
65,22,R,G1,BB_147,2,,,,,,,,,,,
65,22,R,G1,BB_147,3,,,,,,,,,,,
65,22,R,G1,BB_147,4,,,,,,,,,,,
65,22,R,G1,BB_147,5,,,,,,,,,,,
66,22,L,G2,BB_160,1,,,,,,,,,,,
66,22,L,G2,BB_160,2,,,,,,,,,,,
66,22,L,G2,BB_160,3,,,,,,,,,,,
66,22,L,G2,BB_160,4,,,,,,,,,,,
66,22,L,G2,BB_160,5,,,,,,,,,,,
66,22,R,G1,BB_035,1,,,,,,,,,,,
66,22,R,G1,BB_035,2,,,,,,,,,,,
66,22,R,G1,BB_035,3,,,,,,,,,,,
66,22,R,G1,BB_035,4,,,,,,,,,,,
66,22,R,G1,BB_035,5,,,,,,,,,,,
67,23,L,G1,BB_019,1,,,,,,,,,,,
67,23,L,G1,BB_019,2,,,,,,,,,,,
67,23,L,G1,BB_019,3,,,,,,,,,,,
67,23,L,G1,BB_019,4,,,,,,,,,,,
67,23,L,G1,BB_019,5,,,,,,,,,,,
67,23,R,G2,BB_206,1,,,,,,,,,,,
67,23,R,G2,BB_206,2,,,,,,,,,,,
67,23,R,G2,BB_206,3,,,,,,,,,,,
67,23,R,G2,BB_206,4,,,,,,,,,,,
67,23,R,G2,BB_206,5,,,,,,,,,,,
68,23,L,G1,BB_061,1,,,,,,,,,,,
68,23,L,G1,BB_061,2,,,,,,,,,,,
68,23,L,G1,BB_061,3,,,,,,,,,,,
68,23,L,G1,BB_061,4,,,,,,,,,,,
68,23,L,G1,BB_061,5,,,,,,,,,,,
68,23,R,G1,BB_105,1,,,,,,,,,,,
68,23,R,G1,BB_105,2,,,,,,,,,,,
68,23,R,G1,BB_105,3,,,,,,,,,,,
68,23,R,G1,BB_105,4,,,,,,,,,,,
68,23,R,G1,BB_105,5,,,,,,,,,,,
69,23,L,G1,BB_076,1,,,,,,,,,,,
69,23,L,G1,BB_076,2,,,,,,,,,,,
69,23,L,G1,BB_076,3,,,,,,,,,,,
69,23,L,G1,BB_076,4,,,,,,,,,,,
69,23,L,G1,BB_076,5,,,,,,,,,,,
69,23,R,G2,BB_078,1,,,,,,,,,,,
69,23,R,G2,BB_078,2,,,,,,,,,,,
69,23,R,G2,BB_078,3,,,,,,,,,,,
69,23,R,G2,BB_078,4,,,,,,,,,,,
69,23,R,G2,BB_078,5,,,,,,,,,,,
70,24,L,G1,BB_017,1,,,,,,,,,,,
70,24,L,G1,BB_017,2,,,,,,,,,,,
70,24,L,G1,BB_017,3,,,,,,,,,,,
70,24,L,G1,BB_017,4,,,,,,,,,,,
70,24,L,G1,BB_017,5,,,,,,,,,,,
70,24,R,G2,BB_171,1,,,,,,,,,,,
70,24,R,G2,BB_171,2,,,,,,,,,,,
70,24,R,G2,BB_171,3,,,,,,,,,,,
70,24,R,G2,BB_171,4,,,,,,,,,,,
70,24,R,G2,BB_171,5,,,,,,,,,,,
71,24,L,G2,BB_109,1,,,,,,,,,,,
71,24,L,G2,BB_109,2,,,,,,,,,,,
71,24,L,G2,BB_109,3,,,,,,,,,,,
71,24,L,G2,BB_109,4,,,,,,,,,,,
71,24,L,G2,BB_109,5,,,,,,,,,,,
71,24,R,G1,BB_199,1,,,,,,,,,,,
71,24,R,G1,BB_199,2,,,,,,,,,,,
71,24,R,G1,BB_199,3,,,,,,,,,,,
71,24,R,G1,BB_199,4,,,,,,,,,,,
71,24,R,G1,BB_199,5,,,,,,,,,,,
72,24,L,G1,BB_084,1,,,,,,,,,,,
72,24,L,G1,BB_084,2,,,,,,,,,,,
72,24,L,G1,BB_084,3,,,,,,,,,,,
72,24,L,G1,BB_084,4,,,,,,,,,,,
72,24,L,G1,BB_084,5,,,,,,,,,,,
72,24,R,G1,BB_214,1,,,,,,,,,,,
72,24,R,G1,BB_214,2,,,,,,,,,,,
72,24,R,G1,BB_214,3,,,,,,,,,,,
72,24,R,G1,BB_214,4,,,,,,,,,,,
72,24,R,G1,BB_214,5,,,,,,,,,,,
73,25,L,G1,BB_172,1,,,,,,,,,,,
73,25,L,G1,BB_172,2,,,,,,,,,,,
73,25,L,G1,BB_172,3,,,,,,,,,,,
73,25,L,G1,BB_172,4,,,,,,,,,,,
73,25,L,G1,BB_172,5,,,,,,,,,,,
73,25,R,G2,BB_121,1,,,,,,,,,,,
73,25,R,G2,BB_121,2,,,,,,,,,,,
73,25,R,G2,BB_121,3,,,,,,,,,,,
73,25,R,G2,BB_121,4,,,,,,,,,,,
73,25,R,G2,BB_121,5,,,,,,,,,,,
74,25,L,G1,BB_002,1,,,,,,,,,,,
74,25,L,G1,BB_002,2,,,,,,,,,,,
74,25,L,G1,BB_002,3,,,,,,,,,,,
74,25,L,G1,BB_002,4,,,,,,,,,,,
74,25,L,G1,BB_002,5,,,,,,,,,,,
74,25,R,G2,BB_153,1,,,,,,,,,,,
74,25,R,G2,BB_153,2,,,,,,,,,,,
74,25,R,G2,BB_153,3,,,,,,,,,,,
74,25,R,G2,BB_153,4,,,,,,,,,,,
74,25,R,G2,BB_153,5,,,,,,,,,,,
75,25,L,G1,BB_153,1,,,,,,,,,,,
75,25,L,G1,BB_153,2,,,,,,,,,,,
75,25,L,G1,BB_153,3,,,,,,,,,,,
75,25,L,G1,BB_153,4,,,,,,,,,,,
75,25,L,G1,BB_153,5,,,,,,,,,,,
75,25,R,G2,BB_098,1,,,,,,,,,,,
75,25,R,G2,BB_098,2,,,,,,,,,,,
75,25,R,G2,BB_098,3,,,,,,,,,,,
75,25,R,G2,BB_098,4,,,,,,,,,,,
75,25,R,G2,BB_098,5,,,,,,,,,,,
76,26,L,G2,BB_017,1,,,,,,,,,,,
76,26,L,G2,BB_017,2,,,,,,,,,,,
76,26,L,G2,BB_017,3,,,,,,,,,,,
76,26,L,G2,BB_017,4,,,,,,,,,,,
76,26,L,G2,BB_017,5,,,,,,,,,,,
76,26,R,G1,BB_072,1,,,,,,,,,,,
76,26,R,G1,BB_072,2,,,,,,,,,,,
76,26,R,G1,BB_072,3,,,,,,,,,,,
76,26,R,G1,BB_072,4,,,,,,,,,,,
76,26,R,G1,BB_072,5,,,,,,,,,,,
77,26,L,G2,BB_189,1,,,,,,,,,,,
77,26,L,G2,BB_189,2,,,,,,,,,,,
77,26,L,G2,BB_189,3,,,,,,,,,,,
77,26,L,G2,BB_189,4,,,,,,,,,,,
77,26,L,G2,BB_189,5,,,,,,,,,,,
77,26,R,G1,BB_016,1,,,,,,,,,,,
77,26,R,G1,BB_016,2,,,,,,,,,,,
77,26,R,G1,BB_016,3,,,,,,,,,,,
77,26,R,G1,BB_016,4,,,,,,,,,,,
77,26,R,G1,BB_016,5,,,,,,,,,,,
78,26,L,G1,BB_034,1,,,,,,,,,,,
78,26,L,G1,BB_034,2,,,,,,,,,,,
78,26,L,G1,BB_034,3,,,,,,,,,,,
78,26,L,G1,BB_034,4,,,,,,,,,,,
78,26,L,G1,BB_034,5,,,,,,,,,,,
78,26,R,G1,BB_064,1,,,,,,,,,,,
78,26,R,G1,BB_064,2,,,,,,,,,,,
78,26,R,G1,BB_064,3,,,,,,,,,,,
78,26,R,G1,BB_064,4,,,,,,,,,,,
78,26,R,G1,BB_064,5,,,,,,,,,,,
79,27,L,G1,BB_126,1,,,,,,,,,,,
79,27,L,G1,BB_126,2,,,,,,,,,,,
79,27,L,G1,BB_126,3,,,,,,,,,,,
79,27,L,G1,BB_126,4,,,,,,,,,,,
79,27,L,G1,BB_126,5,,,,,,,,,,,
79,27,R,G1,BB_149,1,,,,,,,,,,,
79,27,R,G1,BB_149,2,,,,,,,,,,,
79,27,R,G1,BB_149,3,,,,,,,,,,,
79,27,R,G1,BB_149,4,,,,,,,,,,,
79,27,R,G1,BB_149,5,,,,,,,,,,,
80,27,L,G1,BB_163,1,,,,,,,,,,,
80,27,L,G1,BB_163,2,,,,,,,,,,,
80,27,L,G1,BB_163,3,,,,,,,,,,,
80,27,L,G1,BB_163,4,,,,,,,,,,,
80,27,L,G1,BB_163,5,,,,,,,,,,,
80,27,R,G1,BB_013,1,,,,,,,,,,,
80,27,R,G1,BB_013,2,,,,,,,,,,,
80,27,R,G1,BB_013,3,,,,,,,,,,,
80,27,R,G1,BB_013,4,,,,,,,,,,,
80,27,R,G1,BB_013,5,,,,,,,,,,,
81,27,L,G1,BB_095,1,,,,,,,,,,,
81,27,L,G1,BB_095,2,,,,,,,,,,,
81,27,L,G1,BB_095,3,,,,,,,,,,,
81,27,L,G1,BB_095,4,,,,,,,,,,,
81,27,L,G1,BB_095,5,,,,,,,,,,,
81,27,R,G2,BB_020,1,,,,,,,,,,,
81,27,R,G2,BB_020,2,,,,,,,,,,,
81,27,R,G2,BB_020,3,,,,,,,,,,,
81,27,R,G2,BB_020,4,,,,,,,,,,,
81,27,R,G2,BB_020,5,,,,,,,,,,,
82,28,L,G1,BB_008,1,,,,,,,,,,,
82,28,L,G1,BB_008,2,,,,,,,,,,,
82,28,L,G1,BB_008,3,,,,,,,,,,,
82,28,L,G1,BB_008,4,,,,,,,,,,,
82,28,L,G1,BB_008,5,,,,,,,,,,,
82,28,R,G2,BB_059,1,,,,,,,,,,,
82,28,R,G2,BB_059,2,,,,,,,,,,,
82,28,R,G2,BB_059,3,,,,,,,,,,,
82,28,R,G2,BB_059,4,,,,,,,,,,,
82,28,R,G2,BB_059,5,,,,,,,,,,,
83,28,L,G1,BB_080,1,,,,,,,,,,,
83,28,L,G1,BB_080,2,,,,,,,,,,,
83,28,L,G1,BB_080,3,,,,,,,,,,,
83,28,L,G1,BB_080,4,,,,,,,,,,,
83,28,L,G1,BB_080,5,,,,,,,,,,,
83,28,R,G1,BB_185,1,,,,,,,,,,,
83,28,R,G1,BB_185,2,,,,,,,,,,,
83,28,R,G1,BB_185,3,,,,,,,,,,,
83,28,R,G1,BB_185,4,,,,,,,,,,,
83,28,R,G1,BB_185,5,,,,,,,,,,,
84,28,L,G1,BB_021,1,,,,,,,,,,,
84,28,L,G1,BB_021,2,,,,,,,,,,,
84,28,L,G1,BB_021,3,,,,,,,,,,,
84,28,L,G1,BB_021,4,,,,,,,,,,,
84,28,L,G1,BB_021,5,,,,,,,,,,,
84,28,R,G1,BB_152,1,,,,,,,,,,,
84,28,R,G1,BB_152,2,,,,,,,,,,,
84,28,R,G1,BB_152,3,,,,,,,,,,,
84,28,R,G1,BB_152,4,,,,,,,,,,,
84,28,R,G1,BB_152,5,,,,,,,,,,,
85,29,L,G2,BB_104,1,,,,,,,,,,,
85,29,L,G2,BB_104,2,,,,,,,,,,,
85,29,L,G2,BB_104,3,,,,,,,,,,,
85,29,L,G2,BB_104,4,,,,,,,,,,,
85,29,L,G2,BB_104,5,,,,,,,,,,,
85,29,R,G1,BB_137,1,,,,,,,,,,,
85,29,R,G1,BB_137,2,,,,,,,,,,,
85,29,R,G1,BB_137,3,,,,,,,,,,,
85,29,R,G1,BB_137,4,,,,,,,,,,,
85,29,R,G1,BB_137,5,,,,,,,,,,,
86,29,L,G1,BB_216,1,,,,,,,,,,,
86,29,L,G1,BB_216,2,,,,,,,,,,,
86,29,L,G1,BB_216,3,,,,,,,,,,,
86,29,L,G1,BB_216,4,,,,,,,,,,,
86,29,L,G1,BB_216,5,,,,,,,,,,,
86,29,R,G2,BB_190,1,,,,,,,,,,,
86,29,R,G2,BB_190,2,,,,,,,,,,,
86,29,R,G2,BB_190,3,,,,,,,,,,,
86,29,R,G2,BB_190,4,,,,,,,,,,,
86,29,R,G2,BB_190,5,,,,,,,,,,,
87,29,L,G1,BB_060,1,,,,,,,,,,,
87,29,L,G1,BB_060,2,,,,,,,,,,,
87,29,L,G1,BB_060,3,,,,,,,,,,,
87,29,L,G1,BB_060,4,,,,,,,,,,,
87,29,L,G1,BB_060,5,,,,,,,,,,,
87,29,R,G1,BB_052,1,,,,,,,,,,,
87,29,R,G1,BB_052,2,,,,,,,,,,,
87,29,R,G1,BB_052,3,,,,,,,,,,,
87,29,R,G1,BB_052,4,,,,,,,,,,,
87,29,R,G1,BB_052,5,,,,,,,,,,,
88,30,L,G1,BB_127,1,,,,,,,,,,,
88,30,L,G1,BB_127,2,,,,,,,,,,,
88,30,L,G1,BB_127,3,,,,,,,,,,,
88,30,L,G1,BB_127,4,,,,,,,,,,,
88,30,L,G1,BB_127,5,,,,,,,,,,,
88,30,R,G1,BB_171,1,,,,,,,,,,,
88,30,R,G1,BB_171,2,,,,,,,,,,,
88,30,R,G1,BB_171,3,,,,,,,,,,,
88,30,R,G1,BB_171,4,,,,,,,,,,,
88,30,R,G1,BB_171,5,,,,,,,,,,,
89,30,L,G1,BB_153,1,,,,,,,,,,,
89,30,L,G1,BB_153,2,,,,,,,,,,,
89,30,L,G1,BB_153,3,,,,,,,,,,,
89,30,L,G1,BB_153,4,,,,,,,,,,,
89,30,L,G1,BB_153,5,,,,,,,,,,,
89,30,R,G1,BB_201,1,,,,,,,,,,,
89,30,R,G1,BB_201,2,,,,,,,,,,,
89,30,R,G1,BB_201,3,,,,,,,,,,,
89,30,R,G1,BB_201,4,,,,,,,,,,,
89,30,R,G1,BB_201,5,,,,,,,,,,,
90,30,L,G1,BB_074,1,,,,,,,,,,,
90,30,L,G1,BB_074,2,,,,,,,,,,,
90,30,L,G1,BB_074,3,,,,,,,,,,,
90,30,L,G1,BB_074,4,,,,,,,,,,,
90,30,L,G1,BB_074,5,,,,,,,,,,,
90,30,R,G1,BB_084,1,,,,,,,,,,,
90,30,R,G1,BB_084,2,,,,,,,,,,,
90,30,R,G1,BB_084,3,,,,,,,,,,,
90,30,R,G1,BB_084,4,,,,,,,,,,,
90,30,R,G1,BB_084,5,,,,,,,,,,,
91,31,L,G1,BB_020,1,,,,,,,,,,,
91,31,L,G1,BB_020,2,,,,,,,,,,,
91,31,L,G1,BB_020,3,,,,,,,,,,,
91,31,L,G1,BB_020,4,,,,,,,,,,,
91,31,L,G1,BB_020,5,,,,,,,,,,,
91,31,R,G1,BB_094,1,,,,,,,,,,,
91,31,R,G1,BB_094,2,,,,,,,,,,,
91,31,R,G1,BB_094,3,,,,,,,,,,,
91,31,R,G1,BB_094,4,,,,,,,,,,,
91,31,R,G1,BB_094,5,,,,,,,,,,,
92,31,L,G2,BB_019,1,,,,,,,,,,,
92,31,L,G2,BB_019,2,,,,,,,,,,,
92,31,L,G2,BB_019,3,,,,,,,,,,,
92,31,L,G2,BB_019,4,,,,,,,,,,,
92,31,L,G2,BB_019,5,,,,,,,,,,,
92,31,R,G2,BB_145,1,,,,,,,,,,,
92,31,R,G2,BB_145,2,,,,,,,,,,,
92,31,R,G2,BB_145,3,,,,,,,,,,,
92,31,R,G2,BB_145,4,,,,,,,,,,,
92,31,R,G2,BB_145,5,,,,,,,,,,,
93,31,L,G2,BB_087,1,,,,,,,,,,,
93,31,L,G2,BB_087,2,,,,,,,,,,,
93,31,L,G2,BB_087,3,,,,,,,,,,,
93,31,L,G2,BB_087,4,,,,,,,,,,,
93,31,L,G2,BB_087,5,,,,,,,,,,,
93,31,R,G2,BB_138,1,,,,,,,,,,,
93,31,R,G2,BB_138,2,,,,,,,,,,,
93,31,R,G2,BB_138,3,,,,,,,,,,,
93,31,R,G2,BB_138,4,,,,,,,,,,,
93,31,R,G2,BB_138,5,,,,,,,,,,,
94,32,L,G2,BB_039,1,,,,,,,,,,,
94,32,L,G2,BB_039,2,,,,,,,,,,,
94,32,L,G2,BB_039,3,,,,,,,,,,,
94,32,L,G2,BB_039,4,,,,,,,,,,,
94,32,L,G2,BB_039,5,,,,,,,,,,,
94,32,R,G1,BB_119,1,,,,,,,,,,,
94,32,R,G1,BB_119,2,,,,,,,,,,,
94,32,R,G1,BB_119,3,,,,,,,,,,,
94,32,R,G1,BB_119,4,,,,,,,,,,,
94,32,R,G1,BB_119,5,,,,,,,,,,,
95,32,L,G1,BB_215,1,,,,,,,,,,,
95,32,L,G1,BB_215,2,,,,,,,,,,,
95,32,L,G1,BB_215,3,,,,,,,,,,,
95,32,L,G1,BB_215,4,,,,,,,,,,,
95,32,L,G1,BB_215,5,,,,,,,,,,,
95,32,R,G1,BB_151,1,,,,,,,,,,,
95,32,R,G1,BB_151,2,,,,,,,,,,,
95,32,R,G1,BB_151,3,,,,,,,,,,,
95,32,R,G1,BB_151,4,,,,,,,,,,,
95,32,R,G1,BB_151,5,,,,,,,,,,,
96,32,L,G1,BB_044,1,,,,,,,,,,,
96,32,L,G1,BB_044,2,,,,,,,,,,,
96,32,L,G1,BB_044,3,,,,,,,,,,,
96,32,L,G1,BB_044,4,,,,,,,,,,,
96,32,L,G1,BB_044,5,,,,,,,,,,,
96,32,R,G2,BB_207,1,,,,,,,,,,,
96,32,R,G2,BB_207,2,,,,,,,,,,,
96,32,R,G2,BB_207,3,,,,,,,,,,,
96,32,R,G2,BB_207,4,,,,,,,,,,,
96,32,R,G2,BB_207,5,,,,,,,,,,,
97,33,L,G1,BB_078,1,,,,,,,,,,,
97,33,L,G1,BB_078,2,,,,,,,,,,,
97,33,L,G1,BB_078,3,,,,,,,,,,,
97,33,L,G1,BB_078,4,,,,,,,,,,,
97,33,L,G1,BB_078,5,,,,,,,,,,,
97,33,R,G1,BB_163,1,,,,,,,,,,,
97,33,R,G1,BB_163,2,,,,,,,,,,,
97,33,R,G1,BB_163,3,,,,,,,,,,,
97,33,R,G1,BB_163,4,,,,,,,,,,,
97,33,R,G1,BB_163,5,,,,,,,,,,,
98,33,L,G2,BB_143,1,,,,,,,,,,,
98,33,L,G2,BB_143,2,,,,,,,,,,,
98,33,L,G2,BB_143,3,,,,,,,,,,,
98,33,L,G2,BB_143,4,,,,,,,,,,,
98,33,L,G2,BB_143,5,,,,,,,,,,,
98,33,R,G1,BB_192,1,,,,,,,,,,,
98,33,R,G1,BB_192,2,,,,,,,,,,,
98,33,R,G1,BB_192,3,,,,,,,,,,,
98,33,R,G1,BB_192,4,,,,,,,,,,,
98,33,R,G1,BB_192,5,,,,,,,,,,,
99,33,L,G1,BB_160,1,,,,,,,,,,,
99,33,L,G1,BB_160,2,,,,,,,,,,,
99,33,L,G1,BB_160,3,,,,,,,,,,,
99,33,L,G1,BB_160,4,,,,,,,,,,,
99,33,L,G1,BB_160,5,,,,,,,,,,,
99,33,R,G2,BB_083,1,,,,,,,,,,,
99,33,R,G2,BB_083,2,,,,,,,,,,,
99,33,R,G2,BB_083,3,,,,,,,,,,,
99,33,R,G2,BB_083,4,,,,,,,,,,,
99,33,R,G2,BB_083,5,,,,,,,,,,,
100,34,L,G1,BB_049,1,,,,,,,,,,,
100,34,L,G1,BB_049,2,,,,,,,,,,,
100,34,L,G1,BB_049,3,,,,,,,,,,,
100,34,L,G1,BB_049,4,,,,,,,,,,,
100,34,L,G1,BB_049,5,,,,,,,,,,,
100,34,R,G2,BB_135,1,,,,,,,,,,,
100,34,R,G2,BB_135,2,,,,,,,,,,,
100,34,R,G2,BB_135,3,,,,,,,,,,,
100,34,R,G2,BB_135,4,,,,,,,,,,,
100,34,R,G2,BB_135,5,,,,,,,,,,,
101,34,L,G1,BB_004,1,,,,,,,,,,,
101,34,L,G1,BB_004,2,,,,,,,,,,,
101,34,L,G1,BB_004,3,,,,,,,,,,,
101,34,L,G1,BB_004,4,,,,,,,,,,,
101,34,L,G1,BB_004,5,,,,,,,,,,,
101,34,R,G2,BB_210,1,,,,,,,,,,,
101,34,R,G2,BB_210,2,,,,,,,,,,,
101,34,R,G2,BB_210,3,,,,,,,,,,,
101,34,R,G2,BB_210,4,,,,,,,,,,,
101,34,R,G2,BB_210,5,,,,,,,,,,,
102,34,L,G1,BB_037,1,,,,,,,,,,,
102,34,L,G1,BB_037,2,,,,,,,,,,,
102,34,L,G1,BB_037,3,,,,,,,,,,,
102,34,L,G1,BB_037,4,,,,,,,,,,,
102,34,L,G1,BB_037,5,,,,,,,,,,,
102,34,R,G1,BB_201,1,,,,,,,,,,,
102,34,R,G1,BB_201,2,,,,,,,,,,,
102,34,R,G1,BB_201,3,,,,,,,,,,,
